time [h]	Qevap [W]
0	3733.33
1	3733.33
2	3733.33
3	0.00
4	0.00
5	0.00
6	0.00
7	3733.33
8	3733.33
9	3733.33
10	3733.33
11	0.00
12	0.00
13	3733.33
14	3733.33
15	3733.33
16	3733.33
17	0.00
18	0.00
19	3733.33
20	3733.33
21	3733.33
22	3733.33
23	3733.33
24	0.00
25	0.00
26	0.00
27	0.00
28	0.00
29	0.00
30	3733.33
31	3733.33
32	3733.33
33	3733.33
34	3733.33
35	0.00
36	0.00
37	3733.33
38	3733.33
39	3733.33
40	3733.33
41	3733.33
42	3733.33
43	0.00
44	0.00
45	3733.33
46	3733.33
47	3733.33
48	3733.33
49	3733.33
50	0.00
51	0.00
52	0.00
53	0.00
54	0.00
55	0.00
56	3733.33
57	3733.33
58	3733.33
59	3733.33
60	3733.33
61	0.00
62	0.00
63	0.00
64	0.00
65	0.00
66	3733.33
67	3733.33
68	3733.33
69	3733.33
70	3733.33
71	0.00
72	0.00
73	0.00
74	0.00
75	0.00
76	0.00
77	0.00
78	3733.33
79	3733.33
80	3733.33
81	3733.33
82	0.00
83	0.00
84	3733.33
85	3733.33
86	3733.33
87	3733.33
88	3733.33
89	3733.33
90	0.00
91	0.00
92	0.00
93	0.00
94	3733.33
95	3733.33
96	3733.33
97	3733.33
98	0.00
99	0.00
100	0.00
101	0.00
102	0.00
103	0.00
104	3733.33
105	3733.33
106	3733.33
107	3733.33
108	3733.33
109	0.00
110	0.00
111	0.00
112	3733.33
113	3733.33
114	3733.33
115	3733.33
116	0.00
117	0.00
118	0.00
119	0.00
120	0.00
121	0.00
122	0.00
123	3733.33
124	3733.33
125	3733.33
126	3733.33
127	0.00
128	0.00
129	0.00
130	0.00
131	3733.33
132	3733.33
133	3733.33
134	3733.33
135	0.00
136	0.00
137	0.00
138	0.00
139	0.00
140	0.00
141	3733.33
142	3733.33
143	3733.33
144	3733.33
145	0.00
146	0.00
147	0.00
148	0.00
149	0.00
150	0.00
151	3733.33
152	3733.33
153	3733.33
154	3733.33
155	3733.33
156	0.00
157	0.00
158	0.00
159	0.00
160	0.00
161	0.00
162	0.00
163	3733.33
164	3733.33
165	3733.33
166	3733.33
167	3733.33
168	0.00
169	0.00
170	0.00
171	0.00
172	0.00
173	0.00
174	0.00
175	0.00
176	3733.33
177	3733.33
178	3733.33
179	3733.33
180	3733.33
181	3733.33
182	0.00
183	0.00
184	0.00
185	0.00
186	0.00
187	3733.33
188	3733.33
189	3733.33
190	3733.33
191	3733.33
192	0.00
193	0.00
194	0.00
195	0.00
196	0.00
197	0.00
198	0.00
199	3733.33
200	3733.33
201	3733.33
202	3733.33
203	3733.33
204	0.00
205	0.00
206	3733.33
207	3733.33
208	3733.33
209	3733.33
210	3733.33
211	0.00
212	0.00
213	0.00
214	0.00
215	3733.33
216	3733.33
217	3733.33
218	0.00
219	0.00
220	0.00
221	0.00
222	0.00
223	3733.33
224	3733.33
225	3733.33
226	3733.33
227	3733.33
228	0.00
229	0.00
230	3733.33
231	3733.33
232	3733.33
233	3733.33
234	3733.33
235	3733.33
236	0.00
237	0.00
238	0.00
239	3733.33
240	3733.33
241	3733.33
242	0.00
243	0.00
244	0.00
245	0.00
246	0.00
247	3733.33
248	3733.33
249	3733.33
250	3733.33
251	3733.33
252	0.00
253	0.00
254	3733.33
255	3733.33
256	3733.33
257	3733.33
258	0.00
259	0.00
260	3733.33
261	3733.33
262	3733.33
263	3733.33
264	3733.33
265	0.00
266	0.00
267	0.00
268	0.00
269	0.00
270	0.00
271	3733.33
272	3733.33
273	3733.33
274	3733.33
275	3733.33
276	0.00
277	0.00
278	3733.33
279	3733.33
280	3733.33
281	3733.33
282	0.00
283	0.00
284	3733.33
285	3733.33
286	3733.33
287	3733.33
288	0.00
289	0.00
290	0.00
291	0.00
292	0.00
293	0.00
294	3733.33
295	3733.33
296	3733.33
297	3733.33
298	3733.33
299	0.00
300	0.00
301	3733.33
302	3733.33
303	3733.33
304	3733.33
305	3733.33
306	0.00
307	0.00
308	3733.33
309	3733.33
310	3733.33
311	3733.33
312	0.00
313	0.00
314	0.00
315	0.00
316	0.00
317	0.00
318	3733.33
319	3733.33
320	3733.33
321	3733.33
322	3733.33
323	3733.33
324	0.00
325	0.00
326	3733.33
327	3733.33
328	3733.33
329	3733.33
330	3733.33
331	0.00
332	0.00
333	0.00
334	3733.33
335	3733.33
336	3733.33
337	3733.33
338	0.00
339	0.00
340	0.00
341	0.00
342	0.00
343	3733.33
344	3733.33
345	3733.33
346	3733.33
347	0.00
348	0.00
349	3733.33
350	3733.33
351	3733.33
352	3733.33
353	0.00
354	0.00
355	0.00
356	3733.33
357	3733.33
358	3733.33
359	3733.33
360	3733.33
361	0.00
362	0.00
363	0.00
364	0.00
365	0.00
366	0.00
367	3733.33
368	3733.33
369	3733.33
370	3733.33
371	3733.33
372	0.00
373	0.00
374	3733.33
375	3733.33
376	3733.33
377	3733.33
